,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-170637,Meixedo e Padornelos,7,6,76.0,62.0,6.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,2.0,0.0,,
LOCAL-170638,Montalegre e Padroso,5,26,383.0,410.0,29.0,59.0,4.0,8.0,6.0,21.0,1.0,5.0,,22.0,5.0,,0.0,1.0,,7.0,0.0,,
LOCAL-170616,Morgade,0,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170618,Negrões,0,3,79.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,,
LOCAL-170619,Outeiro,0,0,37.0,44.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170639,"Paradela, Contim e Fiães",6,4,78.0,64.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,,4.0,1.0,,0.0,0.0,,1.0,0.0,,
LOCAL-170623,Pitões das Junias,0,4,58.0,36.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,2.0,1.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170625,Reigoso,1,2,44.0,34.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170626,Salto,15,16,366.0,266.0,33.0,34.0,2.0,3.0,2.0,12.0,0.0,1.0,,7.0,12.0,,1.0,0.0,,3.0,1.0,,
LOCAL-170627,Santo André,4,0,70.0,32.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170629,Sarraquinhos,6,5,35.0,39.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170640,Sezelhe e Covelães,3,9,90.0,49.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170631,Solveira,4,1,33.0,21.0,6.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170632,Tourém,1,2,42.0,28.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,,0.0,0.0,,
LOCAL-170641,Venda Nova e Pondras,5,8,105.0,83.0,5.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,,1.0,2.0,,0.0,0.0,,4.0,0.0,,
LOCAL-170642,Viade de Baixo e Fervidelas,3,11,209.0,130.0,12.0,15.0,4.0,2.0,1.0,5.0,2.0,0.0,,5.0,2.0,,1.0,0.0,,0.0,0.0,,
LOCAL-170635,Vila da Ponte,4,1,86.0,52.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-170643,Vilar de Perdizes e Meixide,9,5,107.0,109.0,8.0,7.0,0.0,0.0,1.0,2.0,0.0,1.0,,3.0,1.0,,0.0,0.0,,1.0,0.0,,
LOCAL-170701,Candedo,16,8,221.0,207.0,29.0,18.0,1.0,1.0,1.0,13.0,0.0,0.0,,5.0,5.0,,0.0,1.0,,0.0,1.0,,
LOCAL-170710,Carva e Vilares,4,13,120.0,93.0,7.0,13.0,2.0,0.0,0.0,3.0,1.0,0.0,,2.0,1.0,,1.0,1.0,,0.0,0.0,,
LOCAL-170703,Fiolhoso,5,9,90.0,92.0,16.0,7.0,0.0,3.0,0.0,1.0,2.0,1.0,,2.0,2.0,,0.0,0.0,,0.0,1.0,,
LOCAL-170704,Jou,5,15,131.0,109.0,14.0,10.0,3.0,0.0,2.0,5.0,0.0,0.0,,5.0,4.0,,0.0,0.0,,4.0,1.0,,
LOCAL-170705,Murça,27,31,318.0,485.0,47.0,62.0,6.0,5.0,3.0,16.0,0.0,1.0,,15.0,7.0,,1.0,3.0,,6.0,2.0,,
LOCAL-170711,Noura e Palheiros,10,7,153.0,221.0,32.0,28.0,3.0,3.0,3.0,9.0,0.0,3.0,,8.0,3.0,,0.0,1.0,,1.0,2.0,,
LOCAL-170708,Valongo de Milhais,3,3,52.0,93.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,2.0,0.0,,
LOCAL-170802,Fontelas,7,9,125.0,114.0,12.0,27.0,2.0,3.0,3.0,12.0,1.0,1.0,,7.0,4.0,,0.0,0.0,,1.0,1.0,,
LOCAL-170813,Galafura e Covelinhas,19,5,120.0,140.0,24.0,8.0,2.0,0.0,1.0,10.0,2.0,0.0,,2.0,9.0,,1.0,0.0,,1.0,1.0,,
LOCAL-170805,Loureiro,7,11,214.0,128.0,19.0,33.0,4.0,1.0,1.0,9.0,1.0,0.0,,6.0,4.0,,2.0,0.0,,4.0,1.0,,
LOCAL-170814,Moura Morta e Vinhós,7,7,126.0,141.0,19.0,8.0,1.0,1.0,1.0,10.0,1.0,0.0,,8.0,6.0,,0.0,1.0,,1.0,0.0,,
LOCAL-170815,Peso da Régua e Godim,59,91,1864.0,1469.0,137.0,301.0,39.0,37.0,20.0,175.0,10.0,17.0,,69.0,17.0,,1.0,6.0,,21.0,4.0,,
LOCAL-170816,Poiares e Canelas,12,9,248.0,186.0,13.0,31.0,8.0,4.0,4.0,12.0,0.0,1.0,,6.0,3.0,,0.0,1.0,,0.0,0.0,,
LOCAL-170809,Sedielos,10,6,166.0,115.0,13.0,15.0,2.0,0.0,1.0,4.0,0.0,0.0,,8.0,1.0,,0.0,0.0,,2.0,0.0,,
LOCAL-170810,Vilarinho dos Freires,7,8,154.0,105.0,9.0,25.0,2.0,2.0,4.0,14.0,1.0,2.0,,3.0,1.0,,2.0,0.0,,1.0,0.0,,
LOCAL-170901,Alvadia,1,0,40.0,56.0,17.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,,0.0,3.0,,0.0,0.0,,2.0,0.0,,
LOCAL-170902,Canedo,4,4,61.0,83.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,,
LOCAL-170908,Cerva e Limões,28,18,507.0,404.0,80.0,57.0,4.0,5.0,2.0,37.0,3.0,5.0,,13.0,7.0,,2.0,2.0,,4.0,0.0,,
LOCAL-170909,Salvador e Santo Aleixo de Além-Tâmega,31,20,667.0,586.0,73.0,62.0,9.0,0.0,2.0,20.0,7.0,2.0,,7.0,6.0,,1.0,2.0,,14.0,2.0,,
LOCAL-170906,Santa Marinha,9,8,190.0,75.0,14.0,13.0,0.0,1.0,1.0,2.0,1.0,0.0,,1.0,4.0,,1.0,1.0,,1.0,1.0,,
LOCAL-171001,Celeirós,2,3,48.0,35.0,3.0,7.0,2.0,0.0,1.0,2.0,0.0,0.0,,2.0,1.0,,0.0,0.0,,3.0,0.0,,
LOCAL-171002,Covas do Douro,6,6,93.0,66.0,9.0,12.0,0.0,4.0,2.0,6.0,1.0,0.0,,5.0,1.0,,0.0,1.0,,3.0,1.0,,
LOCAL-171004,Gouvinhas,6,1,29.0,49.0,7.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,,1.0,1.0,,0.0,0.0,,2.0,0.0,,
LOCAL-171007,Paços,11,7,126.0,95.0,12.0,16.0,3.0,6.0,3.0,9.0,1.0,2.0,,6.0,2.0,,1.0,2.0,,0.0,0.0,,
LOCAL-171005,Parada de Pinhão,6,1,54.0,88.0,13.0,8.0,1.0,2.0,2.0,2.0,1.0,0.0,,2.0,0.0,,0.0,0.0,,3.0,0.0,,
LOCAL-171016,"Provesende, Gouvães e S.Cristóvão do Douro",6,10,123.0,73.0,12.0,16.0,0.0,0.0,1.0,1.0,0.0,1.0,,4.0,1.0,,1.0,0.0,,9.0,0.0,,
LOCAL-171009,Sabrosa,12,15,272.0,214.0,11.0,45.0,1.0,3.0,2.0,30.0,1.0,3.0,,10.0,2.0,,2.0,1.0,,5.0,1.0,,
LOCAL-171011,São Lourenço de Ribapinhão,7,5,78.0,48.0,7.0,14.0,0.0,2.0,0.0,3.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,3.0,0.0,,
LOCAL-171017,São Martinho de Antas e Paradela de Guiães,18,11,192.0,153.0,20.0,36.0,4.0,2.0,1.0,8.0,1.0,1.0,,8.0,5.0,,1.0,2.0,,8.0,1.0,,
LOCAL-171013,Souto Maior,6,6,97.0,83.0,7.0,8.0,0.0,0.0,2.0,3.0,0.0,2.0,,3.0,2.0,,0.0,0.0,,1.0,0.0,,
LOCAL-171014,Torre do Pinhão,5,1,43.0,95.0,10.0,8.0,2.0,0.0,0.0,4.0,0.0,1.0,,2.0,1.0,,1.0,0.0,,2.0,0.0,,
LOCAL-171015,Vilarinho de São Romão,6,0,42.0,47.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,1.0,0.0,,
LOCAL-171101,Alvações do Corgo,3,2,140.0,65.0,8.0,16.0,1.0,1.0,1.0,6.0,1.0,2.0,,2.0,1.0,,0.0,0.0,,1.0,0.0,,
LOCAL-171102,Cumieira,16,16,250.0,187.0,33.0,27.0,1.0,2.0,5.0,10.0,5.0,2.0,,11.0,5.0,,0.0,1.0,,5.0,3.0,,
LOCAL-171103,Fontes,3,8,198.0,127.0,15.0,14.0,1.0,1.0,0.0,5.0,2.0,3.0,,8.0,1.0,,0.0,0.0,,6.0,1.0,,
LOCAL-171111,Lobrigos (S.Miguel e S.João Baptista) e Sanhoane,30,32,558.0,399.0,71.0,92.0,13.0,4.0,9.0,36.0,3.0,12.0,,17.0,10.0,,3.0,3.0,,6.0,0.0,,
LOCAL-171112,Louredo e Fornelos,3,6,175.0,144.0,5.0,20.0,2.0,1.0,2.0,9.0,0.0,1.0,,4.0,2.0,,0.0,0.0,,0.0,1.0,,
LOCAL-171106,Medrões,5,3,119.0,79.0,13.0,24.0,0.0,1.0,0.0,4.0,0.0,0.0,,4.0,2.0,,0.0,0.0,,2.0,0.0,,
LOCAL-171110,Sever,13,6,183.0,127.0,12.0,19.0,4.0,6.0,1.0,3.0,0.0,1.0,,9.0,3.0,,0.0,1.0,,1.0,0.0,,
LOCAL-171201,Água Revés e Crasto,7,7,61.0,97.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,,2.0,1.0,,0.0,0.0,,
LOCAL-171203,Algeriz,8,1,91.0,175.0,15.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,,2.0,3.0,,1.0,0.0,,1.0,1.0,,
LOCAL-171205,Bouçoães,5,2,54.0,125.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,1.0,0.0,,
LOCAL-171206,Canaveses,6,2,25.0,48.0,8.0,6.0,0.0,1.0,1.0,3.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-171232,Carrazedo de Montenegro e Curros,30,21,160.0,548.0,63.0,25.0,10.0,5.0,4.0,10.0,3.0,0.0,,9.0,3.0,,2.0,0.0,,8.0,2.0,,
LOCAL-171209,Ervões,10,17,84.0,140.0,18.0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,,8.0,0.0,,1.0,0.0,,1.0,2.0,,
LOCAL-171211,Fornos do Pinhal,4,2,56.0,120.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-171212,Friões,8,4,63.0,208.0,21.0,8.0,1.0,3.0,0.0,1.0,1.0,0.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,
LOCAL-171233,"Lebução, Fiães e Nozelos",10,7,91.0,179.0,17.0,10.0,7.0,2.0,0.0,5.0,1.0,0.0,,3.0,0.0,,0.0,1.0,,4.0,0.0,,
LOCAL-171215,Padrela e Tazem,6,5,42.0,77.0,9.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,,0.0,1.0,,1.0,0.0,,2.0,0.0,,
LOCAL-171216,Possacos,6,5,80.0,111.0,4.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,,0.0,0.0,,3.0,0.0,,
LOCAL-171217,Rio Torto,6,5,54.0,95.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,,3.0,0.0,,0.0,0.0,,0.0,0.0,,
LOCAL-171219,Santa Maria de Emeres,3,2,56.0,101.0,10.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,,1.0,0.0,,2.0,2.0,,
LOCAL-171220,Santa Valha,1,4,43.0,134.0,11.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,,0.0,1.0,,1.0,0.0,,
LOCAL-171221,Santiago da Ribeira de Alhariz,4,5,28.0,192.0,16.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,0.0,,0.0,2.0,,2.0,0.0,,
LOCAL-171222,São João da Corveira,12,5,115.0,123.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,1.0,,1.0,1.0,,1.0,0.0,,
LOCAL-171223,São Pedro de Veiga de Lila,3,2,58.0,72.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,3.0,,1.0,0.0,,1.0,2.0,,
LOCAL-171224,Serapicos,17,2,14.0,101.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,0.0,0.0,,3.0,0.0,,
LOCAL-171234,Sonim e Barreiros,11,4,62.0,121.0,19.0,6.0,3.0,0.0,1.0,0.0,0.0,5.0,,4.0,3.0,,0.0,0.0,,1.0,0.0,,
LOCAL-171235,Tinhela e Alvarelhos,0,2,22.0,115.0,11.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,1.0,,0.0,1.0,,2.0,1.0,,
LOCAL-171227,Vales,6,0,32.0,58.0,22.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,,
LOCAL-171236,Valpaços e Sanfins,49,37,689.0,965.0,92.0,125.0,18.0,12.0,11.0,50.0,4.0,4.0,,47.0,12.0,,4.0,6.0,,6.0,3.0,,
LOCAL-171229,Vassal,3,4,44.0,131.0,13.0,8.0,1.0,3.0,0.0,4.0,0.0,0.0,,5.0,2.0,,0.0,0.0,,0.0,0.0,,
LOCAL-171230,Veiga de Lila,9,0,23.0,112.0,6.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,,2.0,0.0,,0.0,1.0,,0.0,1.0,,
LOCAL-171231,Vilarandelo,17,15,107.0,210.0,32.0,21.0,5.0,10.0,1.0,3.0,0.0,4.0,,7.0,2.0,,0.0,0.0,,3.0,0.0,,
LOCAL-171302,Alfarela de Jales,10,4,90.0,81.0,25.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,,7.0,2.0,,0.0,2.0,,0.0,1.0,,
LOCAL-171319,Alvão,10,9,154.0,265.0,21.0,19.0,0.0,2.0,1.0,12.0,0.0,0.0,,7.0,7.0,,0.0,0.0,,7.0,0.0,,
LOCAL-171303,Bornes de Aguiar,23,44,394.0,337.0,52.0,44.0,8.0,23.0,1.0,15.0,2.0,4.0,,14.0,7.0,,1.0,1.0,,6.0,0.0,,
LOCAL-171304,Bragado,9,5,112.0,130.0,17.0,5.0,2.0,4.0,1.0,0.0,2.0,0.0,,3.0,0.0,,1.0,1.0,,0.0,2.0,,
LOCAL-171305,Capeludos,1,3,78.0,119.0,6.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,0.0,1.0,,0.0,1.0,,
LOCAL-171320,Pensalvos e Parada de Monteiros,6,1,88.0,78.0,6.0,7.0,1.0,0.0,0.0,6.0,0.0,0.0,,4.0,0.0,,0.0,0.0,,1.0,0.0,,
LOCAL-171317,Sabroso de Aguiar,8,14,155.0,92.0,15.0,14.0,5.0,0.0,1.0,5.0,2.0,0.0,,7.0,4.0,,0.0,1.0,,6.0,0.0,,
LOCAL-171310,Soutelo de Aguiar,12,10,156.0,104.0,10.0,17.0,1.0,2.0,2.0,10.0,1.0,0.0,,4.0,5.0,,1.0,0.0,,3.0,1.0,,
LOCAL-171311,Telões,20,19,234.0,277.0,36.0,33.0,8.0,3.0,2.0,11.0,0.0,4.0,,11.0,7.0,,1.0,0.0,,4.0,3.0,,
LOCAL-171312,Tresminas,4,2,84.0,124.0,12.0,5.0,2.0,0.0,1.0,9.0,1.0,1.0,,3.0,1.0,,1.0,1.0,,1.0,2.0,,
LOCAL-171313,Valoura,3,0,82.0,105.0,6.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,,0.0,1.0,,1.0,0.0,,0.0,1.0,,
LOCAL-171314,Vila Pouca de Aguiar,21,37,744.0,648.0,65.0,87.0,11.0,23.0,8.0,60.0,2.0,9.0,,40.0,12.0,,5.0,6.0,,14.0,3.0,,
LOCAL-171315,Vreia de Bornes,13,9,76.0,164.0,18.0,15.0,3.0,0.0,4.0,4.0,0.0,1.0,,3.0,3.0,,1.0,1.0,,6.0,1.0,,
LOCAL-171316,Vreia de Jales,12,10,210.0,164.0,25.0,19.0,6.0,1.0,1.0,12.0,0.0,0.0,,2.0,5.0,,2.0,0.0,,1.0,2.0,,
LOCAL-171401,Abaças,12,4,192.0,172.0,26.0,25.0,6.0,2.0,3.0,19.0,0.0,2.0,,5.0,3.0,,3.0,0.0,,5.0,1.0,,
LOCAL-171431,Adoufe e Vilarinho de Samardã,30,24,513.0,499.0,74.0,98.0,16.0,17.0,17.0,36.0,3.0,8.0,,34.0,7.0,,2.0,0.0,,14.0,3.0,,
LOCAL-171403,Andrães,21,8,264.0,342.0,41.0,46.0,8.0,4.0,1.0,12.0,1.0,2.0,,13.0,3.0,,6.0,3.0,,4.0,3.0,,
LOCAL-171404,Arroios,17,17,228.0,251.0,27.0,51.0,11.0,4.0,6.0,19.0,2.0,7.0,,17.0,3.0,,0.0,2.0,,3.0,3.0,,
LOCAL-171432,Borbela e Lamas de Olo,28,43,466.0,518.0,78.0,105.0,20.0,15.0,14.0,40.0,2.0,12.0,,26.0,6.0,,2.0,2.0,,14.0,4.0,,
LOCAL-171406,Campeã,11,12,267.0,360.0,39.0,45.0,5.0,3.0,1.0,7.0,0.0,0.0,,11.0,2.0,,1.0,1.0,,2.0,0.0,,
LOCAL-171433,Constantim e Vale de Nogueiras,27,45,314.0,385.0,39.0,69.0,10.0,8.0,9.0,14.0,0.0,7.0,,14.0,4.0,,2.0,1.0,,5.0,2.0,,
LOCAL-171409,Folhadela,26,44,404.0,385.0,44.0,117.0,14.0,8.0,9.0,55.0,5.0,2.0,,12.0,8.0,,1.0,1.0,,13.0,4.0,,
LOCAL-171410,Guiães,3,3,44.0,104.0,16.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,3.0,0.0,,
LOCAL-171414,Lordelo,42,42,510.0,448.0,41.0,141.0,20.0,15.0,15.0,44.0,3.0,21.0,,38.0,7.0,,4.0,4.0,,14.0,2.0,,
LOCAL-171415,Mateus,31,41,617.0,679.0,55.0,168.0,22.0,27.0,21.0,76.0,0.0,15.0,,52.0,4.0,,1.0,2.0,,10.0,5.0,,
LOCAL-171416,Mondrões,15,16,227.0,197.0,28.0,25.0,6.0,2.0,1.0,8.0,4.0,3.0,,6.0,4.0,,1.0,0.0,,7.0,0.0,,
LOCAL-171434,Mouçós e Lamares,43,57,601.0,715.0,99.0,119.0,22.0,23.0,7.0,49.0,4.0,10.0,,35.0,12.0,,4.0,3.0,,15.0,3.0,,
LOCAL-171435,Nogueira e Ermida,10,5,185.0,171.0,12.0,18.0,4.0,0.0,2.0,13.0,1.0,2.0,,8.0,2.0,,0.0,0.0,,4.0,1.0,,
LOCAL-171420,Parada de Cunhos,25,20,376.0,311.0,23.0,85.0,9.0,9.0,7.0,20.0,1.0,7.0,,21.0,11.0,,3.0,3.0,,9.0,2.0,,
LOCAL-171436,"Pena, Quintã e Vila Cova",8,8,104.0,276.0,31.0,18.0,5.0,3.0,0.0,2.0,0.0,1.0,,5.0,10.0,,1.0,3.0,,3.0,0.0,,
LOCAL-171437,São Tomé do Castelo e Justes,19,20,207.0,261.0,43.0,50.0,4.0,8.0,1.0,16.0,0.0,1.0,,7.0,4.0,,2.0,1.0,,6.0,2.0,,
LOCAL-171426,Torgueda,19,20,320.0,274.0,36.0,71.0,1.0,7.0,4.0,19.0,1.0,6.0,,10.0,2.0,,1.0,1.0,,8.0,2.0,,
LOCAL-171429,Vila Marim,22,21,369.0,314.0,44.0,62.0,11.0,10.0,5.0,21.0,2.0,9.0,,10.0,7.0,,3.0,1.0,,6.0,1.0,,
LOCAL-171438,Vila Real,166,219,3223.0,3348.0,323.0,972.0,105.0,105.0,114.0,325.0,6.0,97.0,,262.0,35.0,,15.0,15.0,,59.0,11.0,,
LOCAL-180101,Aldeias,9,2,31.0,82.0,27.0,14.0,0.0,0.0,1.0,5.0,0.0,3.0,,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
LOCAL-180121,Aricera e Goujoim,1,1,33.0,50.0,11.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LOCAL-180120,Armamar,28,17,198.0,259.0,65.0,62.0,4.0,6.0,4.0,49.0,4.0,6.0,,10.0,5.0,3.0,1.0,0.0,6.0,6.0,0.0,1.0,0.0
LOCAL-180104,Cimbres,4,5,31.0,43.0,14.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LOCAL-180106,Folgosa,3,4,77.0,54.0,9.0,19.0,2.0,1.0,0.0,13.0,0.0,2.0,,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
LOCAL-180107,Fontelo,4,3,121.0,106.0,30.0,20.0,0.0,0.0,0.0,10.0,1.0,0.0,,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
LOCAL-180109,Queimada,6,0,29.0,43.0,26.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
LOCAL-180110,Queimadela,2,2,38.0,52.0,42.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LOCAL-180111,Santa Cruz,2,0,15.0,36.0,14.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LOCAL-180114,São Cosmado,7,5,87.0,90.0,27.0,15.0,0.0,1.0,1.0,8.0,0.0,0.0,,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LOCAL-180115,São Martinho das Chãs,4,4,51.0,113.0,33.0,14.0,0.0,1.0,1.0,6.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
LOCAL-180122,São Romão e Santiago,1,0,41.0,50.0,13.0,14.0,3.0,1.0,0.0,5.0,1.0,0.0,,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
LOCAL-180118,Vacalar,4,0,38.0,40.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LOCAL-180123,Vila Seca e Santo Adrião,3,5,91.0,43.0,13.0,9.0,3.0,1.0,0.0,16.0,1.0,0.0,,3.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0
LOCAL-180201,Beijós,9,13,148.0,180.0,18.0,32.0,8.0,2.0,1.0,12.0,0.0,1.0,,10.0,1.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0
LOCAL-180202,Cabanas de Viriato,20,16,278.0,248.0,32.0,47.0,9.0,1.0,3.0,9.0,1.0,2.0,,19.0,5.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0
LOCAL-180208,Carregal do Sal,34,50,500.0,532.0,66.0,150.0,20.0,6.0,8.0,18.0,6.0,6.0,,33.0,7.0,0.0,5.0,2.0,2.0,4.0,3.0,9.0,1.0
LOCAL-180204,Oliveira do Conde,34,40,500.0,447.0,66.0,144.0,20.0,6.0,10.0,37.0,4.0,7.0,,31.0,10.0,3.0,6.0,8.0,3.0,7.0,4.0,2.0,1.0
LOCAL-180206,Parada,5,9,88.0,143.0,35.0,47.0,0.0,1.0,1.0,1.0,0.0,1.0,,9.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
LOCAL-180301,Almofala,1,7,33.0,73.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
LOCAL-180303,Cabril,3,3,112.0,55.0,8.0,9.0,1.0,0.0,1.0,6.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
LOCAL-180304,Castro Daire,33,81,670.0,883.0,120.0,130.0,17.0,8.0,9.0,54.0,6.0,18.0,,52.0,7.0,3.0,3.0,4.0,0.0,17.0,4.0,3.0,0.0
LOCAL-180305,Cujó,3,6,37.0,101.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCAL-180309,Gosende,4,10,80.0,65.0,10.0,12.0,0.0,0.0,0.0,5.0,0.0,1.0,,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0
LOCAL-180323,"Mamouros, Alva e Ribolhos",16,16,227.0,278.0,33.0,25.0,7.0,3.0,1.0,12.0,1.0,3.0,,5.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0
LOCAL-180324,Mezio e Moura Morta,7,17,71.0,114.0,27.0,9.0,1.0,0.0,3.0,1.0,2.0,0.0,,6.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
LOCAL-180312,Mões,13,26,331.0,300.0,59.0,33.0,5.0,6.0,1.0,8.0,0.0,4.0,,9.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0
LOCAL-180313,Moledo,20,5,174.0,212.0,20.0,24.0,5.0,0.0,1.0,9.0,0.0,1.0,,4.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
LOCAL-180314,Monteiras,3,5,66.0,79.0,33.0,16.0,3.0,0.0,2.0,1.0,1.0,2.0,,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
LOCAL-180325,Parada de Ester e Ester,4,4,189.0,141.0,8.0,15.0,2.0,4.0,0.0,7.0,1.0,0.0,,3.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
LOCAL-180317,Pepim,3,2,42.0,74.0,11.0,6.0,0.0,1.0,0.0,2.0,1.0,0.0,,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
LOCAL-180326,Picão e Ermida,5,6,52.0,132.0,37.0,18.0,0.0,2.0,1.0,0.0,0.0,0.0,,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
