,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-010933,"Canedo, Vale e Vila Maior",77,54,1700.0,,262.0,183.0,177.0,3.0,36.0,31.0,30.0,35.0,4.0,1.0,12.0,17.0,4.0,1824.0,97.0,4.0,,,,,
LOCAL-010904,Escapães,18,21,832.0,,82.0,102.0,66.0,2.0,35.0,10.0,11.0,27.0,0.0,3.0,0.0,8.0,4.0,644.0,29.0,0.0,,,,,
LOCAL-010907,Fiães,36,52,1773.0,,152.0,219.0,152.0,4.0,49.0,18.0,29.0,106.0,1.0,2.0,4.0,16.0,6.0,1225.0,51.0,5.0,,,,,
LOCAL-010908,Fornos,8,20,812.0,,75.0,98.0,97.0,2.0,18.0,5.0,13.0,24.0,0.0,3.0,5.0,3.0,2.0,610.0,29.0,2.0,,,,,
LOCAL-010934,"Lobão, Gião, Louredo e Guisande",54,48,2123.0,,314.0,186.0,226.0,12.0,63.0,35.0,34.0,54.0,7.0,5.0,4.0,21.0,11.0,1885.0,91.0,1.0,,,,,
LOCAL-010913,Lourosa,60,45,2094.0,,211.0,205.0,189.0,6.0,48.0,30.0,32.0,39.0,2.0,8.0,6.0,17.0,3.0,1499.0,64.0,3.0,,,,,
LOCAL-010914,Milheirós de Poiares,22,26,993.0,,115.0,81.0,71.0,0.0,38.0,13.0,15.0,16.0,2.0,5.0,3.0,8.0,4.0,590.0,26.0,0.0,,,,,
LOCAL-010916,Mozelos,39,53,1825.0,,188.0,202.0,224.0,15.0,71.0,30.0,21.0,56.0,7.0,8.0,11.0,15.0,1.0,1218.0,40.0,1.0,,,,,
LOCAL-010917,Nogueira da Regedoura,18,42,1415.0,,152.0,150.0,129.0,7.0,49.0,12.0,22.0,53.0,2.0,1.0,5.0,13.0,2.0,1094.0,34.0,2.0,,,,,
LOCAL-010919,Paços de Brandão,23,37,1089.0,,106.0,135.0,151.0,7.0,38.0,9.0,19.0,50.0,1.0,3.0,11.0,13.0,4.0,1083.0,60.0,3.0,,,,,
LOCAL-010921,Rio Meão,28,27,1242.0,,113.0,134.0,93.0,8.0,27.0,15.0,14.0,42.0,2.0,1.0,4.0,12.0,2.0,952.0,46.0,0.0,,,,,
LOCAL-010922,Romariz,15,20,643.0,,85.0,50.0,45.0,2.0,10.0,3.0,5.0,6.0,0.0,5.0,2.0,5.0,4.0,587.0,45.0,0.0,,,,,
LOCAL-010924,Sanguedo,25,16,796.0,,106.0,71.0,75.0,9.0,25.0,12.0,8.0,33.0,1.0,3.0,0.0,8.0,1.0,702.0,30.0,0.0,,,,,
LOCAL-010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",72,119,3910.0,,400.0,583.0,720.0,20.0,152.0,40.0,90.0,147.0,2.0,14.0,14.0,30.0,17.0,4055.0,179.0,4.0,,,,,
LOCAL-010925,Santa Maria de Lamas,33,29,1207.0,,123.0,138.0,169.0,1.0,41.0,10.0,18.0,30.0,1.0,2.0,7.0,10.0,3.0,921.0,46.0,0.0,,,,,
LOCAL-010926,São João de Ver,51,57,2430.0,,265.0,275.0,260.0,13.0,78.0,16.0,51.0,86.0,1.0,6.0,12.0,28.0,3.0,1766.0,80.0,3.0,,,,,
LOCAL-010936,São Miguel de Souto e Mosteirô,36,46,1716.0,,133.0,165.0,109.0,7.0,42.0,24.0,23.0,24.0,2.0,6.0,4.0,16.0,2.0,1061.0,54.0,1.0,,,,,
LOCAL-010918,São Paio de Oleiros,21,18,1009.0,,108.0,113.0,73.0,4.0,25.0,4.0,10.0,103.0,0.0,1.0,4.0,16.0,2.0,614.0,27.0,0.0,,,,,
LOCAL-011601,São João da Madeira,97,118,5225.0,,447.0,599.0,607.0,32.0,166.0,48.0,107.0,296.0,5.0,20.0,21.0,42.0,19.0,3499.0,181.0,6.0,,,,,
LOCAL-011710,Cedrim e Paradela,8,9,180.0,,103.0,25.0,19.0,1.0,6.0,3.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,407.0,43.0,0.0,,,,,
LOCAL-011702,Couto de Esteves,5,4,114.0,,12.0,13.0,14.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,1.0,270.0,7.0,0.0,,,,,
LOCAL-011704,Pessegueiro do Vouga,8,4,255.0,,80.0,42.0,35.0,3.0,12.0,9.0,7.0,15.0,1.0,0.0,2.0,3.0,0.0,502.0,58.0,0.0,,,,,
LOCAL-011705,Rocas do Vouga,2,8,268.0,,50.0,25.0,30.0,2.0,5.0,8.0,6.0,9.0,0.0,0.0,1.0,5.0,2.0,392.0,30.0,0.0,,,,,
LOCAL-011706,Sever do Vouga,17,23,398.0,,101.0,53.0,70.0,1.0,20.0,10.0,19.0,19.0,0.0,1.0,0.0,6.0,1.0,711.0,59.0,1.0,,,,,
LOCAL-011711,Silva Escura e Dornelas,10,14,377.0,,60.0,45.0,33.0,1.0,12.0,9.0,9.0,17.0,0.0,0.0,1.0,3.0,2.0,513.0,61.0,0.0,,,,,
LOCAL-011708,Talhadas,6,7,222.0,,59.0,12.0,20.0,0.0,4.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,311.0,45.0,1.0,,,,,
LOCAL-011801,Calvão,20,13,176.0,,66.0,27.0,50.0,6.0,14.0,1.0,6.0,5.0,2.0,1.0,0.0,1.0,1.0,633.0,67.0,1.0,,,,,
LOCAL-011812,Fonte de Angeão e Covão do Lobo,19,18,167.0,,121.0,26.0,34.0,2.0,8.0,3.0,7.0,3.0,0.0,0.0,2.0,1.0,3.0,671.0,31.0,0.0,,,,,
LOCAL-011804,Gafanha da Boa Hora,11,19,306.0,,114.0,43.0,56.0,2.0,13.0,3.0,14.0,23.0,0.0,1.0,1.0,6.0,0.0,499.0,22.0,0.0,,,,,
LOCAL-011805,Ouca,11,6,175.0,,71.0,22.0,26.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,446.0,75.0,1.0,,,,,
LOCAL-011813,Ponte de Vagos e Santa Catarina,22,19,241.0,,134.0,34.0,59.0,2.0,12.0,6.0,6.0,13.0,2.0,3.0,3.0,1.0,0.0,755.0,83.0,2.0,,,,,
LOCAL-011810,Santo André de Vagos,10,6,168.0,,82.0,23.0,17.0,2.0,8.0,4.0,5.0,4.0,2.0,3.0,0.0,2.0,1.0,604.0,57.0,0.0,,,,,
LOCAL-011807,Sosa,15,26,368.0,,116.0,35.0,39.0,2.0,7.0,5.0,14.0,14.0,1.0,1.0,2.0,6.0,1.0,631.0,72.0,0.0,,,,,
LOCAL-011814,Vagos e Santo António,21,40,889.0,,248.0,136.0,163.0,7.0,43.0,17.0,34.0,29.0,3.0,2.0,3.0,8.0,4.0,1534.0,134.0,0.0,,,,,
LOCAL-011901,Arões,10,13,189.0,,37.0,20.0,14.0,1.0,7.0,3.0,2.0,6.0,0.0,1.0,0.0,1.0,1.0,281.0,69.0,1.0,,,,,
LOCAL-011903,Cepelos,11,10,218.0,,39.0,29.0,22.0,0.0,3.0,4.0,4.0,3.0,2.0,1.0,0.0,2.0,0.0,322.0,47.0,0.0,,,,,
LOCAL-011905,Junqueira,8,6,154.0,,21.0,9.0,9.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,257.0,85.0,0.0,,,,,
LOCAL-011906,Macieira de Cambra,50,22,1071.0,,121.0,104.0,96.0,3.0,28.0,22.0,13.0,40.0,1.0,3.0,4.0,8.0,2.0,768.0,123.0,0.0,,,,,
LOCAL-011907,Roge,9,9,397.0,,52.0,41.0,31.0,1.0,5.0,10.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,331.0,34.0,0.0,,,,,
LOCAL-011902,São Pedro de Castelões,58,46,1402.0,,213.0,165.0,152.0,6.0,32.0,35.0,25.0,41.0,0.0,6.0,4.0,11.0,9.0,1365.0,221.0,2.0,,,,,
LOCAL-011910,"Vila Chã, Codal e Vila Cova de Perrinho",41,38,1114.0,,135.0,126.0,131.0,3.0,40.0,25.0,23.0,42.0,1.0,1.0,2.0,6.0,5.0,1108.0,139.0,3.0,,,,,
LOCAL-020106,Aljustrel e Rio de Moinhos,37,25,1325.0,,223.0,133.0,35.0,,23.0,5.0,18.0,890.0,1.0,1.0,6.0,17.0,2.0,260.0,20.0,,2.0,,,,
LOCAL-020102,Ervidel,4,1,223.0,,35.0,14.0,8.0,,1.0,0.0,1.0,142.0,0.0,0.0,0.0,5.0,3.0,39.0,1.0,,1.0,,,,
LOCAL-020103,Messejana,4,2,222.0,,37.0,16.0,1.0,,2.0,1.0,3.0,125.0,0.0,2.0,0.0,5.0,0.0,28.0,2.0,,0.0,,,,
LOCAL-020104,São João de Negrilhos,3,6,402.0,,73.0,22.0,7.0,,2.0,0.0,1.0,162.0,1.0,0.0,0.0,7.0,1.0,40.0,7.0,,0.0,,,,
LOCAL-020208,Aldeia dos Fernandes,5,0,164.0,,16.0,13.0,2.0,,2.0,1.0,3.0,21.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,,0.0,,,,
LOCAL-020209,Almodôvar e Graça dos Padrões,29,25,1009.0,,205.0,95.0,37.0,,17.0,5.0,8.0,102.0,2.0,2.0,0.0,10.0,3.0,432.0,9.0,,5.0,,,,
LOCAL-020203,Rosário,6,2,145.0,,32.0,19.0,6.0,,3.0,1.0,3.0,21.0,0.0,0.0,0.0,1.0,2.0,48.0,0.0,,0.0,,,,
LOCAL-020210,Santa Clara-a-Nova e Gomes Aires,12,1,209.0,,37.0,15.0,6.0,,1.0,1.0,4.0,19.0,2.0,0.0,3.0,1.0,2.0,80.0,1.0,,0.0,,,,
LOCAL-020205,Santa Cruz,3,5,177.0,,17.0,8.0,2.0,,2.0,1.0,1.0,14.0,1.0,0.0,1.0,1.0,0.0,45.0,0.0,,0.0,,,,
LOCAL-020206,São Barnabé,1,3,105.0,,10.0,4.0,0.0,,1.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,45.0,0.0,,0.0,,,,
LOCAL-020301,Alvito,6,9,222.0,,82.0,29.0,16.0,,5.0,2.0,4.0,100.0,0.0,0.0,0.0,5.0,1.0,121.0,2.0,,0.0,,,,
LOCAL-020302,Vila Nova da Baronia,6,8,264.0,,64.0,12.0,11.0,,5.0,0.0,5.0,61.0,1.0,2.0,0.0,5.0,3.0,68.0,1.0,,0.0,,,,
LOCAL-020401,Barrancos,7,12,296.0,,82.0,15.0,9.0,,2.0,0.0,5.0,145.0,0.0,0.0,0.0,3.0,1.0,117.0,9.0,,0.0,,,,
LOCAL-020519,Albernoa e Trindade,3,2,174.0,,20.0,13.0,6.0,,4.0,2.0,3.0,89.0,0.0,0.0,1.0,3.0,0.0,53.0,3.0,,0.0,,,,
LOCAL-020502,Baleizão,3,2,150.0,,33.0,33.0,2.0,,0.0,1.0,5.0,164.0,0.0,0.0,1.0,6.0,0.0,21.0,2.0,,0.0,,,,
LOCAL-020520,Beja (Salvador e Santa Maria da Feira),48,45,1799.0,,550.0,196.0,138.0,,67.0,6.0,46.0,761.0,5.0,5.0,3.0,22.0,6.0,977.0,42.0,,1.0,,,,
LOCAL-020521,Beja (Santiago Maior e São João Baptista),31,84,2349.0,,687.0,257.0,218.0,,76.0,12.0,67.0,1070.0,8.0,6.0,7.0,29.0,13.0,1649.0,82.0,,2.0,,,,
LOCAL-020503,Beringel,3,6,281.0,,67.0,16.0,8.0,,0.0,0.0,2.0,108.0,0.0,0.0,0.0,2.0,2.0,96.0,5.0,,0.0,,,,
LOCAL-020504,Cabeça Gorda,5,4,280.0,,54.0,14.0,1.0,,10.0,1.0,2.0,160.0,0.0,0.0,0.0,4.0,0.0,25.0,10.0,,1.0,,,,
LOCAL-020506,Nossa Senhora das Neves,5,11,345.0,,79.0,21.0,9.0,,11.0,2.0,6.0,179.0,0.0,4.0,1.0,6.0,2.0,61.0,2.0,,0.0,,,,
LOCAL-020522,Salvada e Quintos,4,6,308.0,,58.0,14.0,3.0,,8.0,1.0,1.0,156.0,2.0,0.0,1.0,6.0,0.0,50.0,3.0,,0.0,,,,
LOCAL-020510,Santa Clara de Louredo,1,5,140.0,,25.0,6.0,5.0,,2.0,0.0,0.0,114.0,1.0,0.0,0.0,1.0,0.0,24.0,3.0,,0.0,,,,
LOCAL-020523,Santa Vitória e Mombeja,3,0,196.0,,45.0,17.0,4.0,,2.0,1.0,2.0,105.0,0.0,0.0,1.0,5.0,0.0,33.0,5.0,,0.0,,,,
LOCAL-020516,São Matias,2,5,121.0,,41.0,16.0,4.0,,0.0,0.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,,1.0,,,,
LOCAL-020524,Trigaches e São Brissos,8,3,121.0,,37.0,10.0,5.0,,1.0,1.0,2.0,48.0,0.0,0.0,0.0,3.0,0.0,28.0,1.0,,1.0,,,,
LOCAL-020606,Castro Verde e Casével,15,33,1131.0,,210.0,159.0,70.0,,40.0,4.0,22.0,476.0,1.0,1.0,2.0,12.0,0.0,380.0,19.0,,2.0,,,,
LOCAL-020603,Entradas,4,4,131.0,,19.0,7.0,3.0,,2.0,1.0,0.0,85.0,0.0,1.0,0.0,4.0,0.0,42.0,4.0,,0.0,,,,
LOCAL-020604,Santa Bárbara de Padrões,4,1,237.0,,27.0,22.0,5.0,,3.0,1.0,1.0,117.0,0.0,1.0,0.0,6.0,0.0,28.0,0.0,,0.0,,,,
LOCAL-020605,São Marcos da Ataboeira,0,3,80.0,,8.0,4.0,1.0,,1.0,1.0,1.0,43.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,,0.0,,,,
LOCAL-020701,Cuba,10,20,555.0,,140.0,41.0,23.0,,18.0,1.0,10.0,373.0,1.0,0.0,1.0,6.0,0.0,233.0,14.0,,1.0,,,,
LOCAL-020702,Faro do Alentejo,0,3,123.0,,34.0,3.0,0.0,,1.0,1.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,17.0,2.0,,0.0,,,,
LOCAL-020703,Vila Alva,2,4,106.0,,9.0,4.0,0.0,,1.0,0.0,1.0,55.0,0.0,0.0,0.0,4.0,0.0,24.0,1.0,,0.0,,,,
LOCAL-020704,Vila Ruiva,4,7,98.0,,24.0,7.0,2.0,,0.0,1.0,0.0,64.0,0.0,0.0,0.0,4.0,1.0,15.0,1.0,,0.0,,,,
LOCAL-020807,Alfundão e Peroguarda,4,4,305.0,,52.0,26.0,3.0,,5.0,2.0,3.0,58.0,0.0,0.0,0.0,8.0,1.0,45.0,3.0,,0.0,,,,
LOCAL-020808,Ferreira do Alentejo e Canhestros,16,25,876.0,,234.0,116.0,29.0,,20.0,7.0,8.0,359.0,4.0,1.0,2.0,8.0,1.0,324.0,12.0,,1.0,,,,
LOCAL-020803,Figueira dos Cavaleiros,6,1,347.0,,56.0,13.0,5.0,,3.0,3.0,5.0,128.0,1.0,0.0,0.0,4.0,2.0,64.0,6.0,,0.0,,,,
LOCAL-020804,Odivelas,2,5,140.0,,13.0,8.0,3.0,,1.0,1.0,0.0,31.0,1.0,0.0,2.0,1.0,0.0,23.0,0.0,,0.0,,,,
LOCAL-020901,Alcaria Ruiva,2,1,164.0,,19.0,5.0,5.0,,2.0,1.0,2.0,88.0,0.0,0.0,1.0,1.0,0.0,50.0,3.0,,0.0,,,,
LOCAL-020902,Corte do Pinto,3,5,207.0,,42.0,13.0,4.0,,1.0,2.0,0.0,75.0,1.0,2.0,0.0,5.0,0.0,27.0,2.0,,1.0,,,,
LOCAL-020903,Espírito Santo,1,2,86.0,,8.0,5.0,3.0,,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,0.0,,,,
LOCAL-020904,Mértola,11,31,662.0,,89.0,49.0,13.0,,6.0,2.0,11.0,322.0,1.0,3.0,2.0,9.0,2.0,209.0,8.0,,1.0,,,,
LOCAL-020910,"S.Mig. Pinheiro, S.Pedro Solis, S.Sebastião Carros",4,12,231.0,,14.0,7.0,3.0,,1.0,1.0,4.0,98.0,0.0,0.0,1.0,3.0,0.0,49.0,1.0,,0.0,,,,
LOCAL-020905,Santana de Cambas,4,8,172.0,,26.0,7.0,4.0,,5.0,0.0,3.0,74.0,2.0,1.0,0.0,5.0,0.0,58.0,0.0,,0.0,,,,
LOCAL-020906,São João dos Caldeireiros,2,7,73.0,,23.0,5.0,3.0,,2.0,0.0,6.0,104.0,0.0,0.0,0.0,1.0,0.0,33.0,4.0,,0.0,,,,
LOCAL-021001,Amareleja,5,8,331.0,,168.0,21.0,8.0,,3.0,3.0,5.0,187.0,1.0,0.0,3.0,12.0,0.0,80.0,10.0,,0.0,,,,
LOCAL-021002,Póvoa de São Miguel,7,5,176.0,,110.0,4.0,4.0,,0.0,1.0,2.0,18.0,0.0,0.0,0.0,1.0,0.0,42.0,5.0,,0.0,,,,
LOCAL-021010,Safara e Santo Aleixo da Restauração,11,4,346.0,,131.0,10.0,9.0,,4.0,0.0,0.0,138.0,0.0,0.0,0.0,6.0,0.0,63.0,4.0,,1.0,,,,
LOCAL-021009,Santo Agostinho e São João Baptista e Santo Amador,22,30,1540.0,,593.0,102.0,63.0,,15.0,2.0,9.0,546.0,4.0,2.0,1.0,20.0,3.0,606.0,26.0,,4.0,,,,
LOCAL-021008,Sobral da Adiça,1,2,189.0,,77.0,2.0,3.0,,2.0,2.0,1.0,72.0,1.0,1.0,1.0,1.0,0.0,29.0,2.0,,0.0,,,,
LOCAL-021116,Boavista dos Pinheiros,10,18,422.0,,58.0,45.0,26.0,,12.0,2.0,6.0,95.0,0.0,1.0,1.0,3.0,1.0,87.0,6.0,,0.0,,,,
LOCAL-021118,Colos,3,2,223.0,,49.0,19.0,18.0,,6.0,2.0,5.0,70.0,0.0,2.0,0.0,2.0,1.0,64.0,6.0,,1.0,,,,
LOCAL-021117,Longueira/Almograve,8,12,194.0,,63.0,35.0,43.0,,1.0,1.0,7.0,50.0,1.0,1.0,1.0,3.0,0.0,123.0,5.0,,0.0,,,,
LOCAL-021115,Luzianes-Gare,0,2,55.0,,6.0,1.0,3.0,,3.0,0.0,1.0,61.0,0.0,0.0,0.0,3.0,1.0,15.0,0.0,,0.0,,,,
LOCAL-021102,Relíquias,10,4,197.0,,14.0,16.0,5.0,,6.0,0.0,1.0,53.0,0.0,0.0,0.0,1.0,1.0,27.0,2.0,,0.0,,,,
LOCAL-021103,Sabóia,7,2,249.0,,41.0,16.0,5.0,,9.0,2.0,1.0,29.0,1.0,1.0,2.0,4.0,1.0,74.0,3.0,,0.0,,,,
LOCAL-021119,Santa Clara-a-Velha,11,2,202.0,,20.0,7.0,6.0,,4.0,0.0,2.0,30.0,0.0,1.0,1.0,1.0,0.0,54.0,3.0,,0.0,,,,
LOCAL-021106,São Luís,8,9,425.0,,60.0,46.0,14.0,,5.0,4.0,9.0,159.0,3.0,0.0,0.0,2.0,3.0,148.0,10.0,,2.0,,,,
LOCAL-021107,São Martinho das Amoreiras,7,8,233.0,,21.0,13.0,3.0,,1.0,3.0,3.0,34.0,1.0,2.0,1.0,1.0,0.0,55.0,6.0,,1.0,,,,
LOCAL-021120,São Salvador e Santa Maria,19,17,666.0,,78.0,73.0,60.0,,15.0,4.0,17.0,246.0,1.0,2.0,2.0,7.0,1.0,289.0,10.0,,2.0,,,,
LOCAL-021121,São Teotónio,49,37,1222.0,,200.0,129.0,86.0,,28.0,13.0,44.0,265.0,4.0,7.0,8.0,23.0,6.0,374.0,23.0,,4.0,,,,
LOCAL-021122,Vale de Santiago,3,5,238.0,,46.0,13.0,9.0,,4.0,3.0,5.0,70.0,0.0,0.0,1.0,6.0,1.0,62.0,1.0,,0.0,,,,
LOCAL-021111,Vila Nova de Milfontes,18,32,920.0,,231.0,141.0,102.0,,38.0,20.0,26.0,199.0,5.0,4.0,5.0,15.0,6.0,456.0,22.0,,3.0,,,,
LOCAL-021207,Garvão e Santa Luzia,5,6,197.0,,32.0,8.0,10.0,,6.0,0.0,1.0,52.0,1.0,1.0,1.0,3.0,0.0,136.0,2.0,,0.0,,,,
LOCAL-021203,Ourique,18,20,587.0,,102.0,28.0,26.0,,18.0,1.0,14.0,91.0,7.0,1.0,0.0,2.0,0.0,456.0,9.0,,3.0,,,,
LOCAL-021208,Panoias e Conceição,2,0,141.0,,20.0,12.0,3.0,,2.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,,0.0,,,,
LOCAL-021206,Santana da Serra,3,3,159.0,,25.0,9.0,2.0,,1.0,1.0,0.0,6.0,0.0,0.0,3.0,1.0,3.0,121.0,4.0,,0.0,,,,
LOCAL-021302,Brinches,2,1,186.0,,60.0,12.0,2.0,,1.0,1.0,1.0,114.0,0.0,0.0,0.0,5.0,1.0,43.0,2.0,,1.0,,,,
LOCAL-021303,Pias,12,14,347.0,,140.0,32.0,19.0,,5.0,3.0,4.0,592.0,0.0,0.0,1.0,9.0,1.0,87.0,4.0,,1.0,,,,
LOCAL-021308,Serpa (Salvador e Santa Maria),16,28,1164.0,,377.0,90.0,64.0,,19.0,4.0,26.0,439.0,1.0,1.0,6.0,8.0,17.0,488.0,30.0,,1.0,,,,
LOCAL-021309,Vila Nova de São Bento e Vale de Vargo,15,11,616.0,,229.0,40.0,17.0,,7.0,4.0,7.0,598.0,7.0,0.0,3.0,23.0,4.0,219.0,9.0,,1.0,,,,
LOCAL-021307,Vila Verde de Ficalho,6,9,344.0,,53.0,10.0,11.0,,2.0,0.0,3.0,170.0,3.0,0.0,0.0,6.0,1.0,89.0,0.0,,0.0,,,,
LOCAL-021401,Pedrógão,3,2,222.0,,26.0,11.0,7.0,,1.0,1.0,3.0,172.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,,0.0,,,,
LOCAL-021402,Selmes,2,2,194.0,,41.0,12.0,5.0,,4.0,0.0,1.0,63.0,0.0,1.0,0.0,2.0,1.0,20.0,2.0,,0.0,,,,
LOCAL-021403,Vidigueira,16,16,560.0,,170.0,39.0,21.0,,11.0,3.0,12.0,223.0,1.0,1.0,3.0,6.0,1.0,245.0,11.0,,0.0,,,,
LOCAL-021404,Vila de Frades,7,8,237.0,,35.0,6.0,12.0,,5.0,1.0,1.0,79.0,0.0,0.0,5.0,8.0,0.0,50.0,2.0,,0.0,,,,
LOCAL-030125,Amares e Figueiredo,15,32,700.0,,135.0,60.0,59.0,,19.0,8.0,14.0,29.0,2.0,3.0,1.0,,1.0,526.0,15.0,5.0,1.0,0.0,,,
LOCAL-030102,Barreiros,6,4,167.0,,36.0,8.0,10.0,,4.0,2.0,0.0,7.0,0.0,0.0,0.0,,0.0,184.0,13.0,0.0,1.0,0.0,,,
LOCAL-030104,Bico,4,5,188.0,,54.0,18.0,13.0,,7.0,3.0,2.0,4.0,0.0,0.0,0.0,,0.0,126.0,15.0,1.0,1.0,0.0,,,
LOCAL-030119,Bouro (Santa Maria),1,6,185.0,,29.0,7.0,8.0,,1.0,0.0,2.0,3.0,0.0,1.0,0.0,,1.0,176.0,13.0,0.0,1.0,0.0,,,
LOCAL-030120,Bouro (Santa Marta),2,2,132.0,,15.0,9.0,9.0,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,112.0,5.0,0.0,0.0,0.0,,,
LOCAL-030105,Caires,3,9,232.0,,35.0,4.0,15.0,,2.0,4.0,3.0,6.0,0.0,0.0,1.0,,0.0,194.0,16.0,1.0,1.0,0.0,,,
LOCAL-030126,"Caldelas, Sequeiros e Paranhos",5,7,267.0,,42.0,14.0,14.0,,7.0,1.0,5.0,7.0,1.0,0.0,0.0,,2.0,286.0,15.0,1.0,2.0,0.0,,,
LOCAL-030107,Carrazedo,1,11,195.0,,30.0,8.0,16.0,,6.0,3.0,2.0,7.0,0.0,0.0,0.0,,0.0,180.0,5.0,1.0,0.0,0.0,,,
LOCAL-030108,Dornelas,1,8,105.0,,25.0,6.0,18.0,,5.0,0.0,0.0,4.0,1.0,0.0,1.0,,0.0,124.0,8.0,0.0,1.0,0.0,,,
LOCAL-030127,"Ferreiros, Prozelo e Besteiros",30,34,1127.0,,180.0,61.0,74.0,,27.0,16.0,22.0,55.0,1.0,2.0,2.0,,0.0,765.0,63.0,2.0,4.0,1.0,,,
LOCAL-030111,Fiscal,2,10,162.0,,34.0,6.0,18.0,,5.0,0.0,1.0,9.0,1.0,0.0,2.0,,1.0,153.0,13.0,0.0,0.0,1.0,,,
LOCAL-030112,Goães,0,8,119.0,,20.0,10.0,3.0,,4.0,5.0,1.0,2.0,0.0,0.0,0.0,,0.0,141.0,12.0,0.0,0.0,0.0,,,
LOCAL-030113,Lago,11,10,458.0,,100.0,42.0,52.0,,19.0,5.0,6.0,29.0,1.0,0.0,1.0,,0.0,318.0,24.0,2.0,1.0,0.0,,,
